contrast,path length,AVG SVL,AVG femur,AVG tibia,AVG met,AVG ltoe IV,AVG humerus,AVG radius,AVG lfing IV,Foot Lam num,Hand Lam num,Avg lnSVL2,Avg ln t1
c0,13.088873,-0.000280,0.000609,0.000430,0.010312,0.016154,0.000203,0.000369,0.006710,-0.015587,0.016011,-0.024835,-0.028821
c1,17.452326,-0.008531,-0.001959,-0.008494,-0.001649,0.004408,-0.001942,-0.009273,0.003190,-0.009661,-0.006650,-0.016607,-0.018426
c2,46.770789,-0.006071,-0.007482,-0.009161,-0.000747,0.003630,-0.008991,-0.015398,-0.000180,-0.000596,-0.013025,-0.011421,-0.021763
c3,10.974365,0.063920,0.051071,0.043815,0.056949,0.086584,0.037973,0.042867,0.060872,0.045436,0.038075,0.067650,0.098729
c4,20.274858,0.012436,0.009935,0.007940,0.013568,0.015929,0.000655,-0.000454,0.009533,0.023245,0.002438,-0.000154,0.030193
c5,19.031620,0.079634,0.108066,0.103885,0.092845,0.089824,0.092150,0.116544,0.107025,0.054373,0.060243,0.095353,0.048382
c6,24.678242,-0.016985,-0.046579,-0.042665,-0.028605,-0.017449,-0.032011,-0.045262,-0.029526,-0.010249,-0.016934,-0.028639,0.005157
c7,11.886595,-0.023262,-0.026032,-0.018751,-0.021350,-0.038917,-0.020332,-0.012996,-0.045252,-0.022029,-0.007279,-0.018782,-0.029413
c8,14.995570,0.012802,0.005389,0.007318,0.003584,0.013310,0.022969,0.011000,0.013926,-0.009802,0.015877,0.025106,0.023263
c9,14.685011,0.021215,0.018541,0.009236,0.021884,0.027964,0.012444,0.011028,0.027530,0.013506,0.001410,0.039798,0.040674
c10,20.721464,-0.002504,-0.010242,-0.011739,-0.008066,-0.000809,-0.012217,-0.019873,-0.010952,-0.008036,-0.009995,0.002693,0.032722
c11,15.374393,0.024159,0.040746,0.043327,0.038376,0.032672,0.033694,0.041908,0.037324,-0.010055,0.005052,0.027739,0.016152
c12,20.003358,0.208182,0.214435,0.202369,0.191385,0.189972,0.209035,0.199847,0.190344,0.061424,0.061166,0.206476,0.247427
c13,11.970399,0.036326,0.028431,0.024794,0.037719,0.046374,0.037250,0.028567,0.042918,0.011018,-0.026064,0.040037,0.042760
c14,32.767030,-0.011626,0.019380,0.033470,0.033579,0.039151,0.011491,0.012832,0.027720,0.009387,0.001027,-0.018153,0.044062
c15,47.137106,-0.051560,-0.059487,-0.046926,-0.057318,-0.073069,-0.052286,-0.049967,-0.074846,-0.028020,-0.027523,-0.057069,-0.063870
c16,10.569268,-0.004675,-0.041173,-0.045667,-0.050307,-0.056669,-0.016592,-0.028868,-0.048795,0.032230,0.045117,0.000334,-0.038373
c17,21.548675,-0.047598,-0.039213,-0.031052,-0.030425,-0.043943,-0.041363,-0.037365,-0.047502,-0.031738,-0.034437,-0.050961,-0.062207
c18,21.352027,0.063998,0.080321,0.075136,0.079724,0.092640,0.075345,0.067516,0.073249,0.052621,0.046133,0.065877,0.088861
c19,32.675607,0.015303,0.037934,0.034815,0.031511,0.025346,0.025387,0.031407,0.018443,0.021210,0.012454,0.009255,0.017296
c20,38.646601,0.059152,0.098438,0.090450,0.083529,0.083424,0.088806,0.096535,0.096811,-0.005226,0.026596,0.066863,0.022712
c21,10.143806,-0.030531,-0.025711,-0.039685,-0.036653,-0.034609,-0.037267,-0.046635,-0.036773,0.019589,0.032857,-0.033952,-0.003603
c22,39.528819,-0.015633,-0.003801,-0.016479,-0.011429,-0.025948,-0.025162,-0.018267,-0.027079,-0.005568,-0.010444,-0.014144,0.021816
c23,6.173124,-0.044358,-0.050249,-0.052319,-0.048551,-0.033655,-0.060759,-0.064718,-0.055128,-0.024305,-0.051844,-0.045586,0.000098
c24,21.471225,0.002018,-0.014436,-0.009987,-0.013865,-0.002913,0.013209,0.009412,0.012587,0.037618,0.055705,0.000358,-0.048082
c25,17.049746,0.019358,0.003191,0.009804,0.010005,0.000397,0.019031,0.005180,0.008752,0.006877,0.005387,0.017857,0.016128
c26,19.049362,0.000493,0.009243,0.002109,0.005522,0.008861,0.005683,-0.000060,0.008388,0.014009,0.020551,-0.004183,-0.001374
c27,16.459867,-0.009318,0.005583,0.001396,-0.002711,-0.009187,-0.001832,-0.001573,-0.006487,0.003015,-0.000167,-0.000113,0.012559
c28,24.959241,-0.007745,-0.012507,-0.019135,-0.018166,-0.023155,-0.023211,-0.013302,-0.017478,-0.006133,-0.011476,-0.007826,-0.002340
c29,23.198008,0.018131,0.011680,0.014278,0.032655,0.032350,-0.000181,-0.008440,0.009577,0.017059,-0.002029,0.021827,0.073850
c30,13.611691,0.027083,0.033978,0.028605,0.032359,0.031456,0.025986,0.024504,0.027544,-0.001440,-0.004187,0.023727,0.015306
c31,26.810769,-0.020798,-0.013292,-0.020600,-0.025574,-0.040662,-0.014769,-0.009586,-0.027768,-0.004485,-0.002321,-0.018733,-0.025816
c32,35.342102,-0.023305,-0.015895,-0.014373,-0.019291,-0.027525,-0.026323,-0.018853,-0.023786,-0.010607,0.003055,-0.020880,-0.028301
c33,37.709384,0.079519,0.120146,0.118576,0.131278,0.138076,0.121108,0.134000,0.126745,0.024236,0.035697,0.075626,0.219868
c34,39.976030,-0.055008,-0.009923,0.006689,0.002359,-0.000230,-0.052526,-0.026621,-0.024753,0.002167,-0.014233,-0.052124,-0.011632
