contrast,path length,AVG femur minus SVL,AVG tibia minus SVL,AVG met minus SVL,AVG ltoe IV minus SVL,AVG humerus minus SVL,AVG radius minus SVL,AVG lfing IV minus SVL,Foot Lam num minus SVL,Hand Lam num minus SVL,Avg ln t1 minus SVL
c0,13.088873,0.000889,0.000710,0.010592,0.016434,0.000483,0.000649,0.006990,-0.015307,0.016291,-0.028541
c1,17.452326,0.006573,0.000037,0.006883,0.012939,0.006589,-0.000742,0.011721,-0.001130,0.001881,-0.009895
c2,46.770789,-0.001411,-0.003090,0.005324,0.009701,-0.002920,-0.009327,0.005891,0.005474,-0.006954,-0.015692
c3,10.974365,-0.012849,-0.020105,-0.006971,0.022664,-0.025947,-0.021053,-0.003048,-0.018484,-0.025845,0.034809
c4,20.274858,-0.002502,-0.004496,0.001132,0.003493,-0.011782,-0.012891,-0.002903,0.010808,-0.009998,0.017756
c5,19.031620,0.028431,0.024251,0.013211,0.010190,0.012516,0.036909,0.027391,-0.025261,-0.019391,-0.031252
c6,24.678242,-0.029594,-0.025680,-0.011621,-0.000464,-0.015027,-0.028278,-0.012541,0.006735,0.000051,0.022142
c7,11.886595,-0.002769,0.004511,0.001912,-0.015654,0.002930,0.010266,-0.021990,0.001233,0.015983,-0.006151
c8,14.995570,-0.007413,-0.005483,-0.009218,0.000509,0.010168,-0.001801,0.001124,-0.022603,0.003075,0.010462
c9,14.685011,-0.002674,-0.011979,0.000669,0.006749,-0.008771,-0.010187,0.006315,-0.007709,-0.019805,0.019459
c10,20.721464,-0.007738,-0.009235,-0.005563,0.001695,-0.009714,-0.017370,-0.008448,-0.005532,-0.007491,0.035225
c11,15.374393,0.016587,0.019168,0.014217,0.008513,0.009535,0.017749,0.013166,-0.034214,-0.019106,-0.008006
c12,20.003358,0.006253,-0.005813,-0.016797,-0.018210,0.000853,-0.008336,-0.017838,-0.146758,-0.147016,0.039244
c13,11.970399,-0.007895,-0.011532,0.001393,0.010048,0.000924,-0.007759,0.006592,-0.025308,-0.062390,0.006434
c14,32.767030,0.031007,0.045097,0.045205,0.050778,0.023117,0.024458,0.039346,0.021013,0.012654,0.055688
c15,47.137106,-0.007926,0.004635,-0.005758,-0.021509,-0.000726,0.001593,-0.023286,0.023540,0.024037,-0.012309
c16,10.569268,-0.036497,-0.040992,-0.045631,-0.051994,-0.011916,-0.024192,-0.044120,0.036906,0.049792,-0.033698
c17,21.548675,0.008385,0.016546,0.017173,0.003655,0.006235,0.010233,0.000096,0.015860,0.013161,-0.014609
c18,21.352027,0.016323,0.011138,0.015725,0.028641,0.011347,0.003518,0.009251,-0.011377,-0.017866,0.024863
c19,32.675607,0.022631,0.019511,0.016208,0.010042,0.010084,0.016104,0.003140,0.005907,-0.002850,0.001992
c20,38.646601,0.039286,0.031297,0.024377,0.024272,0.029654,0.037383,0.037659,-0.064378,-0.032556,-0.036440
c21,10.143806,0.004819,-0.009155,-0.006122,-0.004079,-0.006737,-0.016104,-0.006242,0.050119,0.063387,0.026927
c22,39.528819,0.011832,-0.000847,0.004204,-0.010316,-0.009530,-0.002634,-0.011447,0.010065,0.005189,0.037449
c23,6.173124,-0.005891,-0.007961,-0.004193,0.010703,-0.016401,-0.020360,-0.010770,0.020053,-0.007486,0.044456
c24,21.471225,-0.016454,-0.012005,-0.015883,-0.004930,0.011191,0.007394,0.010570,0.035600,0.053688,-0.050100
c25,17.049746,-0.016167,-0.009554,-0.009353,-0.018961,-0.000327,-0.014179,-0.010606,-0.012481,-0.013971,-0.003230
c26,19.049362,0.008750,0.001617,0.005029,0.008369,0.005190,-0.000552,0.007896,0.013516,0.020059,-0.001866
c27,16.459867,0.014901,0.010714,0.006607,0.000131,0.007486,0.007745,0.002831,0.012333,0.009151,0.021877
c28,24.959241,-0.004762,-0.011390,-0.010420,-0.015410,-0.015465,-0.005557,-0.009733,0.001612,-0.003731,0.005405
c29,23.198008,-0.006451,-0.003853,0.014524,0.014219,-0.018312,-0.026571,-0.008554,-0.001073,-0.020161,0.055719
c30,13.611691,0.006894,0.001522,0.005276,0.004373,-0.001097,-0.002579,0.000460,-0.028524,-0.031270,-0.011777
c31,26.810769,0.007506,0.000198,-0.004776,-0.019864,0.006029,0.011212,-0.006970,0.016313,0.018477,-0.005018
c32,35.342102,0.007410,0.008932,0.004013,-0.004220,-0.003018,0.004452,-0.000481,0.012698,0.026360,-0.004996
c33,37.709384,0.040627,0.039057,0.051759,0.058557,0.041589,0.054481,0.047226,-0.055283,-0.043821,0.140349
c34,39.976030,0.045084,0.061697,0.057367,0.054777,0.002482,0.028387,0.030255,0.057175,0.040774,0.043376
c35,21.180749,-0.005559,0.009360,0.022138,0.011187,-0.013282,-0.020797,-0.023931,0.041370,0.008178,0.064371
c36,42.725924,0.008368,-0.008412,-0.009005,-0.010601,0.010523,0.010163,0.011488,-0.038959,-0.028291,-0.001119
c37,26.698341,-0.002662,-0.007170,0.003478,0.015403,0.007797,-0.012265,0.014930,-0.027738,-0.015542,-0.007128
c38,14.839095,-0.000797,-0.008279,0.003137,0.004820,-0.020022,-0.003979,-0.001953,0.016608,0.011776,-0.032541
c39,11.836266,0.015610,0.014370,-0.001411,0.002477,0.010128,0.018628,0.006770,-0.017816,-0.016324,-0.022169
c40,10.683447,0.010826,0.016321,0.007324,0.004838,0.001413,0.015948,0.006141,-0.013098,-0.019960,0.032374
c41,17.372451,0.001008,0.003299,0.001372,-0.008822,0.003284,-0.000994,-0.008577,-0.005373,-0.003141,-0.004208
c42,25.212533,-0.008943,-0.002220,-0.001731,-0.000881,-0.007172,-0.005457,0.003358,-0.017726,-0.021521,0.008531
c43,15.160691,-0.022027,-0.022102,-0.005344,0.013547,-0.016767,-0.029405,0.001316,0.028535,0.006653,-0.003117
c44,31.577159,0.008893,0.011272,0.008009,-0.002979,0.008301,0.013389,-0.001458,-0.033911,-0.028588,-0.011371
c45,4.173045,-0.007441,-0.004346,-0.002028,0.003539,0.021370,0.007931,-0.010125,0.011655,0.014822,0.028052
c46,7.350198,-0.006544,0.002376,-0.005933,-0.023532,0.012423,-0.002080,-0.024455,-0.021519,-0.007675,-0.019018
c47,25.078576,-0.042232,-0.056206,-0.051803,-0.047881,-0.026370,-0.044760,-0.033573,-0.133254,-0.136238,-0.022084
c48,23.409570,-0.004793,-0.005694,-0.009300,-0.015130,-0.016979,-0.012798,-0.021412,-0.085274,-0.071537,0.007769
