contrast,path length,mass,ln BMR,ln mass
c0,21.200000,-1772.238750,-0.318605,-0.341273
c1,116.600000,447.067704,0.018661,0.117427
c2,20.400000,-14.302680,-0.092494,-0.138243
c3,46.800000,11.826491,0.147875,0.215195
c4,0.200000,-8.944272,0.632068,-0.075169
c5,0.300000,15.212777,0.410012,0.123474
c6,30.000000,-14.246531,-0.080063,-0.089884
c7,60.700000,-3.537675,-0.028463,-0.023780
c8,11.000000,15.256474,0.086906,0.314719
c9,16.500000,7.088348,0.160869,0.172941
c10,37.200000,-3.835047,-0.084535,-0.100811
c11,14.400000,15.389751,0.070706,0.166473
c12,10.800000,1.633843,-0.141817,0.004756
c13,7.800000,6.194394,0.081908,0.059327
c14,6.500000,-3.336969,-0.142195,-0.041850
c15,4.400000,-4.176166,-0.285868,-0.231143
c16,12.200000,2.783173,0.051460,0.211604
c17,13.200000,-6.827483,-0.076837,-0.294241
c18,2.200000,1.483240,0.137170,0.046081
c19,2.900000,6.783612,0.134209,0.266958
c20,4.000000,0.729205,0.119099,0.014625
c21,10.600000,1.402518,0.010920,0.054418
c22,8.600000,-3.726675,-0.008780,-0.170005
c23,8.500000,2.524772,0.168164,0.103220
c24,2.900000,-0.683593,-0.257089,-0.081722
c25,1.900000,27.523249,0.305394,0.555376
c26,5.800000,-0.498273,-0.015411,-0.014831
c27,5.600000,6.845749,0.397972,0.367236
c28,3.000000,28.603878,0.536790,0.708144
c29,2.400000,-3.025220,0.011926,0.051765
c30,9.400000,-197.883721,-0.409465,-0.440349
c31,2.200000,-199.532101,-0.842886,-1.076492
c32,6.900000,182.485693,0.525650,0.707263
c33,6.100000,-109.314495,-0.331608,-0.476113
c34,0.500000,-26.445794,0.197078,-0.151220
c35,1.250000,56.242349,0.507095,0.401993
c36,1.150000,55.422753,0.200970,0.491712
c37,1.250000,-61.942281,-0.318060,-0.781412
c38,6.100000,8.173240,0.262029,0.132672
c39,8.700000,8.322666,-0.093218,-0.155743
c40,10.200000,-2.849321,0.038612,-0.061406
c41,12.300000,5.068028,-0.004223,0.139909
c42,15.300000,1.426439,-0.148653,0.031882
c43,6.800000,-19.595955,0.121937,-0.150293
c44,6.200000,2.931751,0.025182,0.069235
c45,3.500000,5.037334,0.114948,0.136366
c46,3.700000,3.920024,0.015717,0.109307
c47,8.900000,28.197302,0.459952,0.379942
c48,10.900000,-2.358807,0.071911,0.027933
c49,7.800000,3.115100,-0.073006,0.045907
c50,8.800000,-2.595669,-0.095390,-0.082949
c51,4.800000,-7.124630,-0.346405,-0.342871
c52,4.800000,-1.351466,0.037212,-0.085758
c53,7.900000,11.121347,0.217871,0.297492
c54,4.600000,10.845467,0.239482,0.257438
c55,5.000000,9.573578,0.208635,0.148689
c56,16.500000,-5.806583,0.003908,-0.089237
c57,10.300000,18.656303,0.066072,0.080532
c58,10.000000,107.169590,0.453965,0.786825
c59,7.400000,51.757128,0.181485,0.333505
c60,10.000000,5.694941,-0.086477,-0.144029
c61,10.400000,-2.945825,-0.081356,-0.112161
c62,4.700000,33.364498,0.282164,0.373826
c63,18.200000,0.070321,-0.031007,0.003248
c64,16.500000,-8.860016,-0.112212,-0.230378
c65,18.600000,4.080902,-0.069487,0.118445
c66,19.200000,-170.364537,-0.248076,-0.310147
c67,2.700000,-171.028076,-0.435624,-0.775764
c68,3.600000,-87.696389,-0.242805,-0.412528
c69,11.400000,-1.332785,0.094257,-0.065117
c70,5.900000,-2.518560,-0.131875,-0.106616
c71,6.000000,0.766419,0.044111,0.029572
c72,4.200000,-3.401012,0.055198,-0.090362
c73,12.200000,-3.965353,-0.098891,-0.136577
c74,16.800000,6.440940,-0.031299,0.135941
c75,16.200000,4.000077,0.053626,0.160057
c76,3.600000,-19.500712,-0.668673,-0.327204
c77,3.600000,8.011103,0.198894,0.223370
c78,4.600000,9.921646,0.192951,0.197378
c79,5.700000,9.308433,0.092583,0.241413
c80,4.000000,-4.200000,0.043506,-0.086102
c81,3.600000,-1.072381,-0.070799,-0.023156
c82,4.000000,-10.900000,-0.047772,-0.270320
c83,3.800000,3.500685,0.000417,0.090913
c84,7.900000,5.185239,0.088981,0.130951
c85,5.000000,0.047036,-0.039378,-0.020822
c86,1.500000,-5.311154,-0.088093,-0.158146
c87,9.600000,-2.050053,-0.002213,-0.041259
c88,2.200000,5.247644,0.135335,0.140030
c89,11.500000,2.542649,-0.022215,0.080311
c90,14.100000,14.328025,0.116268,0.238253
c91,13.200000,-5.733076,-0.112599,-0.108119
c92,3.500000,-6.511379,-0.024855,-0.145522
c93,1.600000,56.414285,0.196520,0.224959
c94,22.600000,-3.087664,-0.074425,0.025710
c95,11.400000,-6.338133,-0.026113,-0.104291
c96,11.500000,6.731537,0.092068,0.137601
c97,11.800000,2.847343,0.144140,0.061168
c98,23.000000,10.821898,0.215312,0.287267
c99,3.100000,3.263753,0.083576,0.120441
c100,19.600000,7.363589,0.210393,0.242741
c101,3.800000,4.804569,0.081486,0.121292
c102,8.000000,2.687006,0.095393,0.087687
c103,6.200000,4.015974,0.005912,0.113475
c104,10.300000,-7.679009,-0.112490,-0.167134
c105,12.500000,-8.092999,-0.132002,-0.148567
c106,11.100000,-5.966324,0.005932,-0.106790
c107,2.600000,-6.213436,-0.131264,-0.147705
c108,13.300000,5.694175,0.045354,0.115569
c109,19.000000,-3.925665,-0.076943,-0.098652
c110,25.800000,-12.009363,-0.168375,-0.258168
c111,5.400000,-0.386516,0.020232,0.015713
c112,23.600000,-19.391653,-0.135378,-0.234389
c113,13.700000,5.512675,0.006395,-0.033645
c114,25.800000,-0.492187,-0.037511,-0.015365
c115,14.300000,-7.496899,-0.102168,-0.159409
c116,16.200000,-14.656556,-0.135317,-0.216837
c117,10.000000,8.886000,0.190046,0.264347
c118,4.800000,-0.136931,-0.022516,-0.006414
c119,6.000000,3.755884,0.073559,0.160512
c120,7.000000,-4.013067,-0.235478,-0.226847
c121,8.600000,0.716576,0.033321,0.054326
c122,10.000000,0.268664,-0.024823,0.023943
c123,6.000000,4.574331,0.079705,0.151132
c124,6.500000,10.355882,0.219056,0.234304
c125,18.700000,6.312414,0.146881,0.155124
c126,35.600000,21.813190,0.296883,0.480467
c127,2.600000,-7.858845,0.003871,0.006898
c128,21.200000,-9.195339,-0.255901,-0.306990
c129,24.400000,4.684086,0.072546,0.047979
c130,22.200000,-16.214997,-0.111801,-0.111701
c131,25.800000,-6.989056,-0.031513,-0.039880
c132,3.800000,-6.880639,-0.035324,-0.049852
c133,10.900000,-28.022767,-0.271865,-0.429860
c134,7.000000,3.182518,0.084408,0.062721
c135,10.900000,-0.598523,-0.014012,0.003115
c136,12.600000,-6.597576,-0.096338,-0.023763
c137,13.000000,16.814617,0.144453,0.213704
c138,46.400000,-5.591766,-0.014722,-0.054903
c139,77.400000,228.309249,0.243951,0.365915
c140,25.800000,-4.173746,-0.122658,-0.071891
c141,29.100000,-2.499001,-0.075578,-0.046329
c142,31.800000,-1.826517,-0.196303,-0.136343
c143,32.100000,5.527447,0.187441,0.196761
c144,33.000000,-4.334534,-0.200656,-0.173256
c145,11.000000,-1.115592,-0.004827,-0.018995
c146,6.500000,3.271540,0.031093,0.060849
c147,7.200000,6.737004,0.125314,0.151113
c148,8.200000,-17.831468,-0.164656,-0.248269
c149,32.600000,8.386218,0.196432,0.232031
c150,32.500000,-2.376718,-0.047063,-0.047295
c151,21.400000,-22.913898,-0.098244,-0.119889
