"","upedon","MO.x","MOGr.x","LU.x","MOGrLU.x","rcasiteid.x","SOCstock100","TSNstock100","lat","long"
"1","A0108P921",1,108,"P","0108P","A0108P92",100.113941479444,9.47804734689078,48.85,-122.68
"2","A0116P901",1,116,"P","0116P","A0116P90",242.002573229696,13.8186904461293,47.24,-122.08
"3","A0116P941",1,116,"P","0116P","A0116P94",293.079581161858,19.0550935944529,47.24,-122.09
"4","A0116X971",1,116,"X","0116X","A0116X97",69.735243895192,9.43465270739343,42.49,-113.18
"5","A0120R931",1,120,"R","0120R","A0120R93",116.996856229881,7.91078575629891,45.23,-117.07
"6","A0201F961",2,201,"F","0201F","A0201F96",29.3874374690865,2.25310583684548,35.41,-114.1
"7","A0201F991",2,201,"F","0201F","A0201F99",40.2226513313854,2.45008041795704,35.81,-118.07
"8","A0204P961",2,204,"P","0204P","A0204P96",71.3064612644003,4.27346067867092,33.56,-117.05
"9","A0208P941",2,208,"P","0208P","A0208P94",21.4537731592135,1.95115291434183,37.02,-120.04
"10","A0209P891",2,209,"P","0209P","A0209P89",74.8869858592311,6.32464786518015,33.89,-117.05
"12","A0210R871",2,210,"R","0210R","A0210R87",24.1491694232448,2.13129656379931,34.43,-117.37
"13","A0215P991",2,215,"P","0215P","A0215P99",57.107740782807,9.84019794503548,37.31,-120.26
"14","A0216P991",2,216,"P","0216P","A0216P99",41.2390055403051,9.06472436178619,35.87,-119.36
"15","A0218R941",2,218,"R","0218R","A0218R94",256.531805975518,19.9375612821412,41.2,-121.38
"16","A0219P961",2,219,"P","0219P","A0219P96",61.4977526955476,8.82785170592468,35.4,-120.57
"18","A0220R981",2,220,"R","0220R","A0220R98",697.895937083928,33.3002204591926,39.03,-120.13
"19","A0220R991",2,220,"R","0220R","A0220R99",2.02756751906708,1.94848944275691,35.88,-118.02
"20","A0305R901",3,305,"R","0305R","A0305R90",28.7678293838082,7.04196215205669,39.82,-119.75
"21","A0305R921",3,305,"R","0305R","A0305R92",39.9362236072813,2.54383584460879,38.86,-119.58
"22","A0305R941",3,305,"R","0305R","A0305R94",20.1301033251195,0.400891276685624,39.14,-119.81
"23","A0305R971",3,305,"R","0305R","A0305R97",31.6152711537807,3.44238953282376,39.49,-118.74
"24","A0306R881",3,306,"R","0306R","A0306R88",5.43774298133083,1.11502155218782,39.59,-119.29
"26","A0306R921",3,306,"R","0306R","A0306R92",7.4949981951671,1.46987147184319,39.59,-119.36
"27","A0306R931",3,306,"R","0306R","A0306R93",8.89454009989982,0.777620691735211,39.33,-118.37
"28","A0306R961",3,306,"R","0306R","A0306R96",3.26743189649091,0.987765785556522,39.04,-118.62
"29","A0306R991",3,306,"R","0306R","A0306R99",21.0643131554456,3.57127805878378,40.26,-118.77
"30","A0801F971",8,801,"F","0801F","A0801F97",8.95835151367399,0.517562776849496,37.91,-111.44
"31","A0801R971",8,801,"R","0801R","A0801R97",14.6636248707313,3.28004739275442,33,-112.5
"32","A0806R891",8,806,"R","0806R","A0806R89",47.2918484666384,6.57106557274061,31.95,-106.43
"33","A1011X981",10,1011,"X","1011X","A1011X98",354.801876256166,27.8444659143274,44.18,-96.07
"34","A1107P951",11,1107,"P","1107P","A1107P95",145.182283924746,11.5469047416673,41.08,-86.24
"35","A1405F981",14,1405,"F","1405F","A1405F98",3476.04564659964,62.2464753890539,34.86,-77.36
"36","A1406W901",14,1406,"W","1406W","A1406W90",957.265556418321,31.6710270881021,35.06,-77.61
"37","A1408F931",14,1408,"F","1408F","A1408F93",206.718227721797,10.6411821415214,35.24,-76.97
"39","A1611F581",16,1611,"F","1611F","A1611F58",47.5241237708157,6.51570998068529,32.75,-90.43
"40","A1611F631",16,1611,"F","1611F","A1611F63",50.7923034656408,6.33399136064189,37.82,-92.89
"41","A1611F661",16,1611,"F","1611F","A1611F66",55.3414351264351,20.4104164327391,32.74,-90.36
"42","A1611F811",16,1611,"F","1611F","A1611F81",71.2696244588806,17.6616721327127,35,-92.38
"43","A1611F851",16,1611,"F","1611F","A1611F85",52.502486262211,5.99769235633355,36.73,-92.68
"44","C0101F011",1,101,"F","0101F","C0101F01",3805.80164245805,92.1758015041759,47.01,-122.77
"45","C0101W011",1,101,"W","0101W","C0101W01",3853.56025572687,182.087755599439,47.59,-122.19
"47","C0101W051",1,101,"W","0101W","C0101W05",1697.6828951314,73.7104025733709,47.1,-124.04
"48","C0101W061",1,101,"W","0101W","C0101W06",719.421015383315,63.4562294970332,43.72,-111.15
"49","C0101W071",1,101,"W","0101W","C0101W07",1520.84902158943,86.788081173359,48,-122.41
"50","C0101W081",1,101,"W","0101W","C0101W08",3471.12872077236,149.512468458296,46.11,-123.91
"52","C0101W101",1,101,"W","0101W","C0101W10",1081.66809267881,72.7160263564296,46.34,-123.98
"53","C0102C011",1,102,"C","0102C","C0102C01",35.1827171137313,7.20681609799379,46.6,-119.04
"54","C0102C021",1,102,"C","0102C","C0102C02",39.6061368550564,5.17563010738672,43.46,-116.27
"55","C0102C041",1,102,"C","0102C","C0102C04",19.4781309781455,5.0502148703492,47.09,-119.89
"56","C0102C051",1,102,"C","0102C","C0102C05",48.6887768504508,16.0554930447447,43.96,-117.1
"57","C0102P011",1,102,"P","0102P","C0102P01",10.1400204440647,1.21924653924165,45.91,-119.27
"58","C0102P021",1,102,"P","0102P","C0102P02",38.2677427886284,8.26973450134019,43.08,-112.57
"59","C0102P031",1,102,"P","0102P","C0102P03",121.064644935267,17.2750575926655,42.5,-114.52
"60","C0102P041",1,102,"P","0102P","C0102P04",23.2539912926829,3.82186713798452,42.54,-113.42
"61","C0102R011",1,102,"R","0102R","C0102R01",15.0068538816058,3.48354580273999,46.32,-119.58
"62","C0102R021",1,102,"R","0102R","C0102R02",22.4610900595727,6.37714467966284,43.35,-116.55
"63","C0102R031",1,102,"R","0102R","C0102R03",21.6561157460906,4.80451710154309,46.38,-119.95
"64","C0102R081",1,102,"R","0102R","C0102R08",22.3658425650274,4.23484050779734,44.55,-117.15
"65","C0102R121",1,102,"R","0102R","C0102R12",37.024118371385,5.70854377981327,47.59,-118.52
"66","C0102X021",1,102,"X","0102X","C0102X02",15.1349858187251,2.61833076094217,47.27,-119.12
"67","C0103C051",1,103,"C","0103C","C0103C05",37.8164852964933,6.47384271016324,45.98,-120
"68","C0103C071",1,103,"C","0103C","C0103C07",78.9386251507411,9.2440865895878,45.05,-117.93
"69","C0103C081",1,103,"C","0103C","C0103C08",24.0095500795253,3.22840827877652,46.3,-117.09
